Heard of Web Trackers,Familiar with Browser Fingerprinting,What Web Trackers Collect,Understand Browser Fingerprint,Used Tools to Limit Web Trackers,Concern about Browser Fingerprinting,Knowledge about Information Collected,Age Range,Tech-Savviness
"yes","no","websitesVisit; none","identifyAndTrack","frequently","somewhatConcerned","neutral","19-25","intermediate"
"no","no","productsClicked","identifyAndTrack","no","somewhatConcerned","agree","19-25","intermediate"
"yes","yes","websitesVisit","identifyAndTrack","frequently","veryConcerned","stronglyAgree","19-25","beginner"
"yes","yes","websitesVisit","identifyAndTrack","frequently","veryConcerned","stronglyAgree","19-25","beginner"
"","","","","","","","",""
"notSure","no","","","occasionally","neutral","stronglyAgree","19-25","intermediate"
"yes","no","duration","identifyAndTrack","occasionally","somewhatConcerned","disagree","19-25","beginner"
"","","personalInfo","securityMethod","no","veryConcerned","neutral","36-50","beginner"
"no","yes","none","identifyAndTrack","notSure","somewhatConcerned","agree","above50","advanced"
"yes","yes","notSure","uniqueID","notSure","somewhatConcerned","stronglyAgree","36-50","expert"
"","","","notSure","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
